Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_1,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),6,PEI CHUN,TOA PAYOH,CENTRAL REGION,103.857036007166,1.33523145909678
kml_2,Our Tampines Hub,3,TAMPINES WEST,TAMPINES,EAST REGION,103.939726160039,1.35386211773287
kml_3,Pasir Ris Central Hawker Centre,3,PASIR RIS CENTRAL,PASIR RIS,EAST REGION,103.951543034782,1.37343413973246
kml_4,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),7,LORONG AH SOO,HOUGANG,NORTH-EAST REGION,103.885977616903,1.35911942212642
kml_5,Redhill Lane Blk 79 (Redhill Market),3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.818402623449,1.2878581025663
kml_6,Redhill Lane Blk 85 (Redhill Food Centre),3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.818338919994,1.28733076703987
kml_7,Serangoon Garden Market,4,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,103.866737484646,1.3631571201113
kml_8,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),7,KAMPONG JAVA,KALLANG,CENTRAL REGION,103.850225081031,1.31615991374589
kml_9,Changi Village Blk 2 and 3,1,CHANGI POINT,CHANGI,EAST REGION,103.988245749103,1.38915172065006
kml_10,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),5,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION,103.839231344066,1.36678764523637
kml_11,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),3,CHONG BOON,ANG MO KIO,NORTH-EAST REGION,103.855369790045,1.36276891777383
kml_12,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),6,KEBUN BAHRU,ANG MO KIO,NORTH-EAST REGION,103.839214290038,1.37448912101909
kml_13,Shunfu Road Blk 320 (Shunfu Mart),1,UPPER THOMSON,BISHAN,CENTRAL REGION,103.837031803823,1.3520074419841701
kml_14,Sims Place Blk 49 (Sims Vista Market and Food Centre),4,ALJUNIED,GEYLANG,CENTRAL REGION,103.879417030673,1.31708335109102
kml_15,Taman Jurong Market and Food Centre,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.721519868629,1.33458935951076
kml_16,Tanglin Halt Market,4,TANGLIN HALT,QUEENSTOWN,CENTRAL REGION,103.797625756738,1.30078931480841
kml_17,Marine Terrace Blk 50A (50A Marine Terrace),3,MARINE PARADE,MARINE PARADE,CENTRAL REGION,103.915761950557,1.30577514781108
kml_18,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),4,BOON TECK,TOA PAYOH,CENTRAL REGION,103.851999137527,1.33454816495637
kml_19,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1,BALESTIER,NOVENA,CENTRAL REGION,103.855137696535,1.32294306204189
kml_20,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),4,TOWNSVILLE,ANG MO KIO,NORTH-EAST REGION,103.848254220438,1.36410517096399
kml_21,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),3,CHONG BOON,ANG MO KIO,NORTH-EAST REGION,103.856351437414,1.36824049310006
kml_22,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),4,CLEMENTI NORTH,CLEMENTI,WEST REGION,103.770836740843,1.31436772839327
kml_23,Dunman Food Centre,2,KATONG,MARINE PARADE,CENTRAL REGION,103.90182514721,1.30941418731184
kml_24,Empress Road Blk 7 (Empress Road Market and Food Centre),8,FARRER COURT,BUKIT TIMAH,CENTRAL REGION,103.805636386821,1.31624573118373
kml_25,Holland Drive Blk 44 (Holland Drive Market and Food Centre),2,HOLLAND DRIVE,QUEENSTOWN,CENTRAL REGION,103.792773765463,1.30811775909823
kml_26,New Upper Changi Road Blk 208B,4,BEDOK NORTH,BEDOK,EAST REGION,103.93056047823,1.32473884451035
kml_27,North Bridge Road Market,9,CRAWFORD,KALLANG,CENTRAL REGION,103.863891012338,1.30576537802761
kml_28,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),2,TAMPINES EAST,TAMPINES,EAST REGION,103.944624481151,1.3456395210229
kml_29,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),14,TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION,103.818641695106,1.27736683810317
kml_30,Tiong Bahru Market,10,TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.832348785334,1.28508825756818
kml_31,Toa Payoh Lorong 5 Blk 75,4,BOON TECK,TOA PAYOH,CENTRAL REGION,103.852941556275,1.33603882157063
kml_32,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),3,BOON KENG,KALLANG,CENTRAL REGION,103.871620273635,1.31502804429519
kml_33,Zion Riverside Food Centre,2,CHATSWORTH,TANGLIN,CENTRAL REGION,103.831189303546,1.29234216757957
kml_34,Clementi Ave 3 Blk 448,6,CLEMENTI CENTRAL,CLEMENTI,WEST REGION,103.764510533078,1.31326486994113
