Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_398,,6,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION,103.862918300343,1.35173853754219
kml_399,,6,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION,103.864933673815,1.35143910339448
kml_400,,2,MARYMOUNT,BISHAN,CENTRAL REGION,103.840058917978,1.34786607252605
kml_401,,1,UPPER THOMSON,BISHAN,CENTRAL REGION,103.839087957196,1.3489803860237
kml_402,,1,DHOBY GHAUT,MUSEUM,CENTRAL REGION,103.84474785746,1.29964924242453
kml_403,,1,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION,103.839811757154,1.33782386965986
kml_404,,1,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION,103.839406731341,1.3371053169312
kml_405,,5,XILIN,TAMPINES,EAST REGION,103.961942958325,1.33532172432127
kml_406,,5,XILIN,TAMPINES,EAST REGION,103.962075287461,1.33525294424645
kml_407,,3,WOODLANDS EAST,WOODLANDS,NORTH REGION,103.800533463672,1.44015239677285
kml_408,,3,WOODLANDS EAST,WOODLANDS,NORTH REGION,103.80136453446,1.4405333877095
kml_409,,1,ANG MO KIO TOWN CENTRE,ANG MO KIO,NORTH-EAST REGION,103.849343273282,1.36944053019854
kml_410,,12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.858731924704,1.28096742410852
kml_411,,12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.858441004092,1.28110463674037
kml_412,,12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.859493846234,1.28283435404712
kml_413,,2,TAMPINES EAST,TAMPINES,EAST REGION,103.945089563271,1.35353908145928
kml_414,,1,HOUGANG CENTRAL,HOUGANG,NORTH-EAST REGION,103.891975028695,1.37214183517648
kml_415,,1,HOUGANG CENTRAL,HOUGANG,NORTH-EAST REGION,103.892445723545,1.37020857839652
kml_416,,6,KOVAN,HOUGANG,NORTH-EAST REGION,103.884721732464,1.36020562275587
kml_417,,7,LORONG AH SOO,HOUGANG,NORTH-EAST REGION,103.885450577767,1.3600280102983
kml_418,,6,KOVAN,HOUGANG,NORTH-EAST REGION,103.88430742886,1.3597075886109
kml_419,,5,GEYLANG EAST,GEYLANG,CENTRAL REGION,103.902894137743,1.31951727516229
kml_420,,5,GEYLANG EAST,GEYLANG,CENTRAL REGION,103.902582077429,1.31956254553274
kml_421,,3,KEMBANGAN,BEDOK,EAST REGION,103.912899289034,1.32115210817365
kml_422,,3,KEMBANGAN,BEDOK,EAST REGION,103.912941079632,1.32092375984857
kml_423,,5,FRANKEL,BEDOK,EAST REGION,103.929157142916,1.3235686363288
kml_424,,4,BEDOK NORTH,BEDOK,EAST REGION,103.929673090156,1.32426834293357
kml_425,,2,CHENG SAN,ANG MO KIO,NORTH-EAST REGION,103.849596100925,1.36968532180176
kml_426,,2,CHENG SAN,ANG MO KIO,NORTH-EAST REGION,103.849939000444,1.36946470675828
kml_427,,3,BISHAN EAST,BISHAN,CENTRAL REGION,103.848312255989,1.35106443962667
kml_428,,3,BISHAN EAST,BISHAN,CENTRAL REGION,103.848432923453,1.35103483795213
kml_429,,3,BISHAN EAST,BISHAN,CENTRAL REGION,103.848209281123,1.35058491170291
kml_430,,3,BRADDELL,TOA PAYOH,CENTRAL REGION,103.847440831031,1.34067216357275
kml_431,,1,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION,103.846406497141,1.34074431896057
kml_432,,1,TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION,103.846429540973,1.34106899225979
kml_433,,2,PEOPLE'S PARK,OUTRAM,CENTRAL REGION,103.839374798995,1.28115042500601
kml_434,,2,PEOPLE'S PARK,OUTRAM,CENTRAL REGION,103.839417926819,1.28135722806701
kml_435,,2,PEOPLE'S PARK,OUTRAM,CENTRAL REGION,103.839789232732,1.2809932759041
kml_436,,9,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION,103.778304715521,1.31141543309686
kml_437,,9,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION,103.77846477161,1.31169319201505
kml_438,,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.705650038475,1.33862950781448
kml_439,,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.705353353388,1.33851412094065
kml_440,,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.705795030952,1.33827322173322
kml_441,,7,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION,103.749936955741,1.34938958747893
