X1,Street,lon,lat,group_id,min_hawker,SUBZONE_NO,SUBZONE_N,REGION_N,min_clinic,min_school,min_MRT
144,COMPASSVALE LANE,103.898465392,1.385231568,144,1703.30371809228,5,SHANGRI-LA,NORTH-EAST REGION,304,239,297
145,COMPASSVALE LINK,103.895390276,1.38334566,145,1635.35330221173,5,SHANGRI-LA,NORTH-EAST REGION,478,100,452
146,COMPASSVALE RD,103.897563629167,1.39184012083333,146,1155.2160359909,5,SHANGRI-LA,NORTH-EAST REGION,369,421,300
147,COMPASSVALE ST,103.899434688462,1.3950606,147,1235.16488961533,5,SHANGRI-LA,NORTH-EAST REGION,168,216,157
148,COMPASSVALE WALK,103.899210746667,1.38908208333333,148,1474.29694952864,5,SHANGRI-LA,NORTH-EAST REGION,636,67,600
149,CORPORATION DR,103.71948,1.337318,149,377.58595344661,5,SHANGRI-LA,NORTH-EAST REGION,420,324,1063
150,CRAWFORD LANE,103.861559775,1.3049718,150,273.882973195238,5,SHANGRI-LA,NORTH-EAST REGION,286,742,458
151,DAKOTA CRES,103.8887069,1.307516925,151,329.969471829461,5,SHANGRI-LA,NORTH-EAST REGION,583,301,144
152,DELTA AVE,103.84383754,1.42569188,152,125.756976512163,5,SHANGRI-LA,NORTH-EAST REGION,431,536,1268
153,DEPOT RD,103.822111622222,1.29362683888889,153,759.785739749838,5,SHANGRI-LA,NORTH-EAST REGION,978,1182,1254
154,DORSET RD,103.799,1.3033,154,316.95905238799,5,SHANGRI-LA,NORTH-EAST REGION,421,558,146
155,DOVER CL EAST,103.785639566667,1.30539266666667,155,683.432984163603,5,SHANGRI-LA,NORTH-EAST REGION,907,486,1042
156,DOVER CRES,103.782746913333,1.30635466666667,156,797.417077447798,5,SHANGRI-LA,NORTH-EAST REGION,933,1133,926
157,DOVER RD,103.83471425,1.3135015,157,568.164796233798,5,SHANGRI-LA,NORTH-EAST REGION,473,716,1139
158,EAST COAST RD,103.923179,1.31182773333333,158,1062.67647755778,5,SHANGRI-LA,NORTH-EAST REGION,18,1162,2030
159,EDGEDALE PLAINS,103.9108813125,1.39469710833333,159,1638.03177290179,4,TOWNSVILLE,NORTH-EAST REGION,855,346,337
160,EDGEFIELD PLAINS,103.907662233333,1.39826146944444,160,1142.94396713395,4,TOWNSVILLE,NORTH-EAST REGION,251,367,187
161,ELIAS RD,103.94257336,1.37617241333333,161,1043.12708907564,4,TOWNSVILLE,NORTH-EAST REGION,548,698,1068
162,EMPRESS RD,103.8052796,1.3163339,162,40.8862764170712,4,TOWNSVILLE,NORTH-EAST REGION,0,836,374
163,EUNOS CRES,103.90268945,1.32278179090909,163,322.45406480449,4,TOWNSVILLE,NORTH-EAST REGION,72,452,426
