school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 Singapore,739063,WOODLANDS,NORTH,103.778088,1.4302,5,WOODGROVE,WOODLANDS,NORTH REGION
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 Singapore,659634,BUKIT BATOK,WEST,103.75348,1.3459352,7,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE Singapore,349700,TOA PAYOH,SOUTH,103.8754605,1.3356131,11,SENNETT,TOA PAYOH,CENTRAL REGION
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET Singapore,458436,BEDOK,EAST,103.9236436,1.3195034,5,FRANKEL,BEDOK,EAST REGION
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN Singapore,237993,CENTRAL,SOUTH,103.8362883,1.2938988,5,INSTITUTION HILL,RIVER VALLEY,CENTRAL REGION
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD Singapore,479239,BEDOK,EAST,103.9114083,1.3309135,1,KAKI BUKIT,BEDOK,EAST REGION
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21 Singapore,529393,TAMPINES,EAST,103.9507462,1.3514701,2,TAMPINES EAST,TAMPINES,EAST REGION
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51 Singapore,649332,JURONG WEST,WEST,103.7215779,1.347595,3,HONG KAH,JURONG WEST,WEST REGION
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE Singapore,158901,BUKIT MERAH,SOUTH,103.8153327,1.2858277,3,REDHILL,BUKIT MERAH,CENTRAL REGION
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 Singapore,529176,TAMPINES,EAST,103.948893,1.357339,2,TAMPINES EAST,TAMPINES,EAST REGION
HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD Singapore,768680,YISHUN,NORTH,103.8447228,1.4278803,3,YISHUN EAST,YISHUN,NORTH REGION
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21 Singapore,768611,YISHUN,NORTH,103.8378387,1.4334989,2,NORTHLAND,YISHUN,NORTH REGION
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 Singapore,659163,BUKIT BATOK,WEST,103.74102,1.349481,6,BUKIT BATOK WEST,BUKIT BATOK,WEST REGION
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 Singapore,659441,BUKIT BATOK,WEST,103.7485279,1.359,2,HONG KAH NORTH,BUKIT BATOK,WEST REGION
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2 Singapore,469317,BEDOK,EAST,103.9380502,1.3237397,6,BEDOK SOUTH,BEDOK,EAST REGION
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52 Singapore,659243,BUKIT BATOK,WEST,103.754202,1.354143,4,GUILIN,BUKIT BATOK,WEST REGION
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4 Singapore,556095,SERANGOON,SOUTH,103.869558,1.359895,4,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD Singapore,768687,YISHUN,NORTH,103.8302303,1.4174051,8,KHATIB,YISHUN,NORTH REGION
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6 Singapore,659762,BUKIT BATOK,WEST,103.7562455,1.3454147,7,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3 Singapore,529896,TAMPINES,EAST,103.9521967,1.3401906,4,SIMEI,TAMPINES,EAST REGION
ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD Singapore,679002,BUKIT PANJANG,WEST,103.769301,1.37957,3,FAJAR,BUKIT PANJANG,WEST REGION
SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL Singapore,689762,CHOA CHU KANG,WEST,103.747145,1.381324,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21 Singapore,518968,PASIR RIS,EAST,103.9628003,1.3722117,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2 Singapore,689905,CHOA CHU KANG,WEST,103.7417229,1.378056,2,KEAT HONG,CHOA CHU KANG,WEST REGION
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD Singapore,677744,BUKIT PANJANG,WEST,103.7679301,1.3856591,2,SAUJANA,BUKIT PANJANG,WEST REGION
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD Singapore,217567,KALLANG,SOUTH,103.8508273,1.3122933,7,KAMPONG JAVA,KALLANG,CENTRAL REGION
BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS Singapore,598112,BUKIT TIMAH,WEST,103.766768,1.337385,1,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION
LAKESIDE PRIMARY SCHOOL,161 CORPORATION WALK Singapore,618310,JURONG WEST,WEST,103.718147,1.3384626,4,TAMAN JURONG,JURONG WEST,WEST REGION
BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD Singapore,679944,BUKIT PANJANG,WEST,103.77377,1.384235,4,BANGKIT,BUKIT PANJANG,WEST REGION
INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17 Singapore,737888,WOODLANDS,NORTH,103.790631,1.428957,4,WOODLANDS SOUTH,WOODLANDS,NORTH REGION
GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS Singapore,828848,PUNGGOL,NORTH,103.9126762,1.396398,4,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK Singapore,757521,SEMBAWANG,NORTH,103.8173695,1.4546184,4,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION
NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK Singapore,544974,SENG KANG,NORTH,103.8960478,1.3828084,5,COMPASSVALE,SENGKANG,NORTH-EAST REGION
ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE Singapore,544969,SENG KANG,NORTH,103.8874074,1.3909254,4,ANCHORVALE,SENGKANG,NORTH-EAST REGION
HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS Singapore,828819,PUNGGOL,NORTH,103.913058,1.400025,5,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE Singapore,088256,BUKIT MERAH,SOUTH,103.8400126,1.2754392,16,EVERTON PARK,BUKIT MERAH,CENTRAL REGION
FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 Singapore,648200,JURONG WEST,WEST,103.6990865,1.3365813,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73 Singapore,649188,JURONG WEST,WEST,103.7003201,1.3475751,8,YUNNAN,JURONG WEST,WEST REGION
PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK Singapore,828772,PUNGGOL,EAST,103.8985774,1.4019149,3,MATILDA,PUNGGOL,NORTH-EAST REGION
PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE Singapore,828845,PUNGGOL,EAST,103.9051798,1.4052956,2,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD Singapore,797636,SENG KANG,EAST,103.8753898,1.392548,6,FERNVALE,SENGKANG,NORTH-EAST REGION
SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK Singapore,544799,SENG KANG,EAST,103.8897326,1.3949665,4,ANCHORVALE,SENGKANG,NORTH-EAST REGION
PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW Singapore,544822,SENG KANG,NORTH,103.8907384,1.3835054,5,COMPASSVALE,SENGKANG,NORTH-EAST REGION
RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT Singapore,737803,WOODLANDS,NORTH,103.8044982,1.4446036,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD Singapore,679946,BUKIT PANJANG,WEST,103.7663052,1.3888971,2,SAUJANA,BUKIT PANJANG,WEST REGION
ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT Singapore,159016,BUKIT MERAH,SOUTH,103.8235297,1.2912968,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION
NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE Singapore,757622,SEMBAWANG,NORTH,103.813826,1.456638,4,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION
ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22 Singapore,529366,TAMPINES,EAST,103.951859,1.348251,2,TAMPINES EAST,TAMPINES,EAST REGION
PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK Singapore,828674,PUNGGOL,EAST,103.895989,1.4082573,2,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS Singapore,828716,PUNGGOL,EAST,103.9109619,1.404288,5,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE Singapore,828802,PUNGGOL,EAST,103.9186176,1.3991315,5,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK Singapore,797538,SENG KANG,EAST,103.8798637,1.3975315,6,FERNVALE,SENGKANG,NORTH-EAST REGION
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH Singapore,319252,TOA PAYOH,SOUTH,103.855651,1.340145,5,LORONG 8 TOA PAYOH,TOA PAYOH,CENTRAL REGION
NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD Singapore,148812,QUEENSTOWN,SOUTH,103.7998822,1.2999119,4,TANGLIN HALT,QUEENSTOWN,CENTRAL REGION
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE Singapore,649930,JURONG WEST,WEST,103.712983,1.34287,2,BOON LAY PLACE,JURONG WEST,WEST REGION
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD Singapore,738927,WOODLANDS,NORTH,103.773663,1.433827,6,WOODLANDS WEST,WOODLANDS,NORTH REGION
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5 Singapore,129857,CLEMENTI,SOUTH,103.767568,1.3160707,4,CLEMENTI NORTH,CLEMENTI,WEST REGION
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24 Singapore,609558,JURONG EAST,WEST,103.7406829,1.3428019,2,YUHUA EAST,JURONG EAST,WEST REGION
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD Singapore,469680,BEDOK,EAST,103.9318916,1.3299176,4,BEDOK NORTH,BEDOK,EAST REGION
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3 Singapore,469623,BEDOK,EAST,103.9324355,1.3338657,4,BEDOK NORTH,BEDOK,EAST REGION
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8 Singapore,538784,HOUGANG,NORTH,103.8830289,1.371069,4,HOUGANG WEST,HOUGANG,NORTH-EAST REGION
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3 Singapore,556108,SERANGOON,SOUTH,103.8682765,1.3488764,6,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91 Singapore,649037,JURONG WEST,WEST,103.688061,1.33837,8,YUNNAN,JURONG WEST,WEST REGION
JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91 Singapore,528906,TAMPINES,EAST,103.940012,1.347973,3,TAMPINES WEST,TAMPINES,EAST REGION
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4 Singapore,769026,YISHUN,NORTH,103.8405561,1.4210098,4,YISHUN SOUTH,YISHUN,NORTH REGION
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4 Singapore,769028,YISHUN,NORTH,103.8387445,1.4163264,4,YISHUN SOUTH,YISHUN,NORTH REGION
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91 Singapore,649036,JURONG WEST,WEST,103.68778,1.34283,8,YUNNAN,JURONG WEST,WEST REGION
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 Singapore,738525,WOODLANDS,NORTH,103.788557,1.442105,2,MIDVIEW,WOODLANDS,NORTH REGION
GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12 Singapore,579806,BISHAN,SOUTH,103.849315,1.345887,3,BISHAN EAST,BISHAN,CENTRAL REGION
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 Singapore,529565,TAMPINES,EAST,103.948581,1.360298,2,TAMPINES EAST,TAMPINES,EAST REGION
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 Singapore,518866,PASIR RIS,EAST,103.9452385,1.3749538,3,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 Singapore,768643,YISHUN,NORTH,103.8330381,1.4337487,9,YISHUN WEST,YISHUN,NORTH REGION
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6 Singapore,768960,YISHUN,NORTH,103.8485274,1.4277102,3,YISHUN EAST,YISHUN,NORTH REGION
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81 Singapore,649076,JURONG WEST,WEST,103.694609,1.348486,8,YUNNAN,JURONG WEST,WEST REGION
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8 Singapore,538787,HOUGANG,SOUTH,103.894746,1.37819,3,HOUGANG EAST,HOUGANG,NORTH-EAST REGION
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1 Singapore,519524,PASIR RIS,EAST,103.939371,1.377331,2,PASIR RIS WEST,PASIR RIS,EAST REGION
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE Singapore,738907,WOODLANDS,NORTH,103.8004349,1.4430507,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54 Singapore,689189,CHOA CHU KANG,WEST,103.7477849,1.393694,5,CHOA CHU KANG NORTH,CHOA CHU KANG,WEST REGION
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK Singapore,545166,SENG KANG,NORTH,103.899471,1.389086,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD Singapore,738240,WOODLANDS,NORTH,103.797928,1.434839,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD Singapore,677742,BUKIT PANJANG,WEST,103.7603257,1.383358,1,SENJA,BUKIT PANJANG,WEST REGION
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11 Singapore,519075,PASIR RIS,EAST,103.961329,1.364903,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT Singapore,688268,CHOA CHU KANG,WEST,103.74729,1.403245,6,YEW TEE,CHOA CHU KANG,WEST REGION
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE Singapore,757714,SEMBAWANG,NORTH,103.8156488,1.4511784,4,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE Singapore,545092,SENG KANG,NORTH,103.904383,1.393196,2,RIVERVALE,SENGKANG,NORTH-EAST REGION
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61 Singapore,648368,JURONG WEST,WEST,103.698854,1.339037,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33 Singapore,529258,TAMPINES,EAST,103.961799,1.35349,2,TAMPINES EAST,TAMPINES,EAST REGION
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE Singapore,738908,WOODLANDS,NORTH,103.795038,1.444082,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST Singapore,545091,SENG KANG,NORTH,103.898003,1.3944615,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 Singapore,738079,WOODLANDS,NORTH,103.7904291,1.4331667,4,WOODLANDS SOUTH,WOODLANDS,NORTH REGION
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE Singapore,757715,SEMBAWANG,NORTH,103.8211733,1.4454915,3,SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4 Singapore,689814,CHOA CHU KANG,WEST,103.745047,1.3852291,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET Singapore,545088,SENG KANG,NORTH,103.903609,1.386881,2,RIVERVALE,SENGKANG,NORTH-EAST REGION
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64 Singapore,689100,CHOA CHU KANG,WEST,103.751221,1.396985,6,YEW TEE,CHOA CHU KANG,WEST REGION
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93 Singapore,534238,HOUGANG,NORTH,103.881046,1.37734,5,TRAFALGAR,HOUGANG,NORTH-EAST REGION
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71 Singapore,518798,PASIR RIS,EAST,103.9352781,1.3762831,2,PASIR RIS WEST,PASIR RIS,EAST REGION
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62 Singapore,737942,WOODLANDS,NORTH,103.804609,1.43985,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9 Singapore,569785,ANG MO KIO,NORTH,103.841225,1.384692,9,YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE Singapore,757702,SEMBAWANG,NORTH,103.8222601,1.4519448,5,ADMIRALTY,SEMBAWANG,NORTH REGION
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS Singapore,828869,PUNGGOL,NORTH,103.9076926,1.4004367,4,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72 Singapore,649223,JURONG WEST,WEST,103.698987,1.34455,8,YUNNAN,JURONG WEST,WEST REGION
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41 Singapore,518935,PASIR RIS,EAST,103.9570205,1.3725006,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3 Singapore,129903,CLEMENTI,WEST,103.7632163,1.3155074,6,CLEMENTI CENTRAL,CLEMENTI,WEST REGION
TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD Singapore,467353,MARINE PARADE,EAST,103.93895500000001,1.3247024,6,BEDOK SOUTH,BEDOK,EAST REGION
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53 Singapore,569206,ANG MO KIO,NORTH,103.8516001,1.3750929,2,CHENG SAN,ANG MO KIO,NORTH-EAST REGION
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI Singapore,538403,TOA PAYOH,SOUTH,103.882831,1.340275,12,JOO SENG,TOA PAYOH,CENTRAL REGION
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH Singapore,318990,TOA PAYOH,SOUTH,103.851956,1.34154,3,BRADDELL,TOA PAYOH,CENTRAL REGION
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE Singapore,349692,TOA PAYOH,EAST,103.874242,1.333751,11,SENNETT,TOA PAYOH,CENTRAL REGION
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD Singapore,247961,BUKIT MERAH,SOUTH,103.8178223,1.2934751,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION
GAN ENG SENG SCHOOL,1 HENDERSON ROAD Singapore,159561,BUKIT MERAH,SOUTH,103.823528,1.2895675,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE Singapore,149295,QUEENSTOWN,SOUTH,103.8019743,1.3005119,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD Singapore,259978,CENTRAL,SOUTH,103.8287358,1.311665,1,ORANGE GROVE,NEWTON,CENTRAL REGION
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE Singapore,575954,BISHAN,SOUTH,103.8432556,1.3466384,2,MARYMOUNT,BISHAN,CENTRAL REGION
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW Singapore,534237,HOUGANG,NORTH,103.9022635,1.3748927,2,KANGKAR,HOUGANG,NORTH-EAST REGION
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD Singapore,608784,JURONG EAST,WEST,103.7455916,1.3189295,8,TEBAN GARDENS,JURONG EAST,WEST REGION
TANJONG KATONG GIRLS' SCHOOL,2 BEDOK SOUTH ROAD Singapore,469268,MARINE PARADE,EAST,103.926756,1.3220605,5,FRANKEL,BEDOK,EAST REGION
VICTORIA SCHOOL,2 SIGLAP LINK Singapore,448880,BEDOK,EAST,103.9275012,1.3085839,7,SIGLAP,BEDOK,EAST REGION
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24 Singapore,579747,BISHAN,SOUTH,103.843265,1.355497,2,MARYMOUNT,BISHAN,CENTRAL REGION
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41 Singapore,649406,JURONG WEST,WEST,103.722405,1.347026,3,HONG KAH,JURONG WEST,WEST REGION
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71 Singapore,768516,YISHUN,NORTH,103.828833,1.428129,9,YISHUN WEST,YISHUN,NORTH REGION
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD Singapore,327919,KALLANG,SOUTH,103.8606585,1.3245246,1,BENDEMEER,KALLANG,CENTRAL REGION
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1 Singapore,739062,WOODLANDS,NORTH,103.777326,1.430948,5,WOODGROVE,WOODLANDS,NORTH REGION
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22 Singapore,569362,ANG MO KIO,SOUTH,103.8426103,1.3677825,5,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK Singapore,468585,BEDOK,EAST,103.950977,1.3248089,6,BEDOK SOUTH,BEDOK,EAST REGION
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3 Singapore,129904,CLEMENTI,WEST,103.7618194,1.3154809,6,CLEMENTI CENTRAL,CLEMENTI,WEST REGION
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD Singapore,465561,BEDOK,EAST,103.9471669,1.3157589,8,BAYSHORE,BEDOK,EAST REGION
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21 Singapore,569384,ANG MO KIO,SOUTH,103.835438,1.368331,5,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12 Singapore,529427,TAMPINES,EAST,103.9439474,1.3498263,2,TAMPINES EAST,TAMPINES,EAST REGION
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21 Singapore,659633,BUKIT BATOK,WEST,103.7521004,1.345925,7,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD Singapore,739111,WOODLANDS,NORTH,103.774208,1.439565,6,WOODLANDS WEST,WOODLANDS,NORTH REGION
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI Singapore,547529,HOUGANG,NORTH,103.877649,1.370117,4,HOUGANG WEST,HOUGANG,NORTH-EAST REGION
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8 Singapore,658962,BUKIT BATOK,WEST,103.740867,1.348506,6,BUKIT BATOK WEST,BUKIT BATOK,WEST REGION
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21 Singapore,768610,YISHUN,NORTH,103.8384727,1.4325411,2,NORTHLAND,YISHUN,NORTH REGION
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 Singapore,534256,HOUGANG,NORTH,103.88253,1.377661,5,TRAFALGAR,HOUGANG,NORTH-EAST REGION
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 Singapore,129956,CLEMENTI,WEST,103.769189,1.30807,7,CLEMENTI WOODS,CLEMENTI,WEST REGION
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52 Singapore,659250,BUKIT BATOK,WEST,103.752785,1.35277,4,GUILIN,BUKIT BATOK,WEST REGION
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8 Singapore,538789,HOUGANG,NORTH,103.883077,1.372635,4,HOUGANG WEST,HOUGANG,NORTH-EAST REGION
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD Singapore,679938,BUKIT PANJANG,WEST,103.773836,1.38206,4,BANGKIT,BUKIT PANJANG,WEST REGION
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8 Singapore,529593,TAMPINES,EAST,103.9300788,1.3498342,3,TAMPINES WEST,TAMPINES,EAST REGION
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT Singapore,688845,CHOA CHU KANG,WEST,103.7525502,1.3825531,1,TECK WHYE,CHOA CHU KANG,WEST REGION
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD Singapore,479229,BEDOK,EAST,103.927061,1.336405,2,BEDOK RESERVOIR,BEDOK,EAST REGION
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22 Singapore,768578,YISHUN,NORTH,103.840098,1.435827,2,NORTHLAND,YISHUN,NORTH REGION
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK Singapore,575566,BISHAN,SOUTH,103.829903,1.36613,1,UPPER THOMSON,BISHAN,CENTRAL REGION
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1 Singapore,609790,JURONG EAST,WEST,103.729161,1.351493,1,YUHUA WEST,JURONG EAST,WEST REGION
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD Singapore,678972,BUKIT PANJANG,WEST,103.7644367,1.3753749,5,JELEBU,BUKIT PANJANG,WEST REGION
