school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
KONG HWA SCHOOL,350 GUILLEMARD ROAD Singapore,399772,GEYLANG,EAST,103.8878503,1.311,4,ALJUNIED,GEYLANG,CENTRAL REGION
MEE TOH SCHOOL,21 EDGEDALE PLAINS Singapore,828867,PUNGGOL,NORTH,103.9089333,1.3947729,4,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE Singapore,449149,MARINE PARADE,EAST,103.9181149,1.3055653,3,MARINE PARADE,MARINE PARADE,CENTRAL REGION
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 Singapore,469719,BEDOK,EAST,103.9346109,1.3332677,4,BEDOK NORTH,BEDOK,EAST REGION
TAO NAN SCHOOL,49 MARINE CRESCENT Singapore,449761,MARINE PARADE,EAST,103.9113177,1.3049455,3,MARINE PARADE,MARINE PARADE,CENTRAL REGION
NANYANG PRIMARY SCHOOL,52 KING'S ROAD Singapore,268097,BUKIT TIMAH,WEST,103.8077117,1.3210855,8,FARRER COURT,BUKIT TIMAH,CENTRAL REGION
ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 32 Singapore,659401,BUKIT BATOK,WEST,103.7490186,1.3642757,2,HONG KAH NORTH,BUKIT BATOK,WEST REGION
MAHA BODHI SCHOOL,10 UBI AVENUE 1 Singapore,408931,GEYLANG,EAST,103.8962436,1.3264069,3,KAMPONG UBI,GEYLANG,CENTRAL REGION
PEI CHUN PUBLIC SCHOOL,580 TOA PAYOH EAST Singapore,319133,TOA PAYOH,SOUTH,103.8589626,1.3332385,7,KIM KEAT,TOA PAYOH,CENTRAL REGION
POI CHING SCHOOL,21 TAMPINES STREET 71 Singapore,529067,TAMPINES,EAST,103.9352454,1.3577836,3,TAMPINES WEST,TAMPINES,EAST REGION
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH Singapore,319580,TOA PAYOH,SOUTH,103.847796,1.337666,3,BRADDELL,TOA PAYOH,CENTRAL REGION
