school_name,address,postal_code,dgp_code,zone_code,lon,lat
GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS Singapore,828848,PUNGGOL,NORTH,103.9126762,1.396398
ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK Singapore,757521,SEMBAWANG,NORTH,103.8173695,1.4546184
NORTH VISTA PRIMARY SCHOOL,20 COMPASSVALE LINK Singapore,544974,SENG KANG,NORTH,103.8960478,1.3828084
ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE Singapore,544969,SENG KANG,NORTH,103.8874074,1.3909254
HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS Singapore,828819,PUNGGOL,NORTH,103.913058,1.400025
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE Singapore,088256,BUKIT MERAH,SOUTH,103.8400126,1.2754392
FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 Singapore,648200,JURONG WEST,WEST,103.6990865,1.3365813
WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73 Singapore,649188,JURONG WEST,WEST,103.7003201,1.3475751
PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK Singapore,828772,PUNGGOL,EAST,103.8985774,1.4019149
PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE Singapore,828845,PUNGGOL,EAST,103.9051798,1.4052956
SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD Singapore,797636,SENG KANG,EAST,103.8753898,1.392548
SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK Singapore,544799,SENG KANG,EAST,103.8897326,1.3949665
PALM VIEW PRIMARY SCHOOL,150 COMPASSVALE BOW Singapore,544822,SENG KANG,NORTH,103.8907384,1.3835054
RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT Singapore,737803,WOODLANDS,NORTH,103.8044982,1.4446036
WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD Singapore,679946,BUKIT PANJANG,WEST,103.7663052,1.3888971
ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT Singapore,159016,BUKIT MERAH,SOUTH,103.8235297,1.2912968
NORTHOAKS PRIMARY SCHOOL,61 SEMBAWANG DRIVE Singapore,757622,SEMBAWANG,NORTH,103.813826,1.456638
ANGSANA PRIMARY SCHOOL,3 TAMPINES STREET 22 Singapore,529366,TAMPINES,EAST,103.951859,1.348251
PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK Singapore,828674,PUNGGOL,EAST,103.895989,1.4082573
OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS Singapore,828716,PUNGGOL,EAST,103.9109619,1.404288
WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE Singapore,828802,PUNGGOL,EAST,103.9186176,1.3991315
FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK Singapore,797538,SENG KANG,EAST,103.8798637,1.3975315
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH Singapore,319252,TOA PAYOH,SOUTH,103.855651,1.340145
NEW TOWN PRIMARY SCHOOL,300 TANGLIN HALT ROAD Singapore,148812,QUEENSTOWN,SOUTH,103.7998822,1.2999119
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE Singapore,649930,JURONG WEST,WEST,103.712983,1.34287
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD Singapore,738927,WOODLANDS,NORTH,103.773663,1.433827
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5 Singapore,129857,CLEMENTI,SOUTH,103.767568,1.3160707
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24 Singapore,609558,JURONG EAST,WEST,103.7406829,1.3428019
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD Singapore,469680,BEDOK,EAST,103.9318916,1.3299176
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3 Singapore,469623,BEDOK,EAST,103.9324355,1.3338657
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8 Singapore,538784,HOUGANG,NORTH,103.8830289,1.371069
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3 Singapore,556108,SERANGOON,SOUTH,103.8682765,1.3488764
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91 Singapore,649037,JURONG WEST,WEST,103.688061,1.33837
JUNYUAN PRIMARY SCHOOL,2 TAMPINES STREET 91 Singapore,528906,TAMPINES,EAST,103.940012,1.347973
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4 Singapore,769026,YISHUN,NORTH,103.8405561,1.4210098
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4 Singapore,769028,YISHUN,NORTH,103.8387445,1.4163264
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91 Singapore,649036,JURONG WEST,WEST,103.68778,1.34283
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81 Singapore,738525,WOODLANDS,NORTH,103.788557,1.442105
GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12 Singapore,579806,BISHAN,SOUTH,103.849315,1.345887
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9 Singapore,529565,TAMPINES,EAST,103.948581,1.360298
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 Singapore,518866,PASIR RIS,EAST,103.9452385,1.3749538
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 Singapore,768643,YISHUN,NORTH,103.8330381,1.4337487
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6 Singapore,768960,YISHUN,NORTH,103.8485274,1.4277102
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81 Singapore,649076,JURONG WEST,WEST,103.694609,1.348486
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8 Singapore,538787,HOUGANG,SOUTH,103.894746,1.37819
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1 Singapore,519524,PASIR RIS,EAST,103.939371,1.377331
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE Singapore,738907,WOODLANDS,NORTH,103.8004349,1.4430507
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54 Singapore,689189,CHOA CHU KANG,WEST,103.7477849,1.393694
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK Singapore,545166,SENG KANG,NORTH,103.899471,1.389086
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD Singapore,738240,WOODLANDS,NORTH,103.797928,1.434839
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD Singapore,677742,BUKIT PANJANG,WEST,103.7603257,1.383358
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11 Singapore,519075,PASIR RIS,EAST,103.961329,1.364903
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT Singapore,688268,CHOA CHU KANG,WEST,103.74729,1.403245
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE Singapore,757714,SEMBAWANG,NORTH,103.8156488,1.4511784
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE Singapore,545092,SENG KANG,NORTH,103.904383,1.393196
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61 Singapore,648368,JURONG WEST,WEST,103.698854,1.339037
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33 Singapore,529258,TAMPINES,EAST,103.961799,1.35349
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE Singapore,738908,WOODLANDS,NORTH,103.795038,1.444082
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST Singapore,545091,SENG KANG,NORTH,103.898003,1.3944615
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 Singapore,738079,WOODLANDS,NORTH,103.7904291,1.4331667
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE Singapore,757715,SEMBAWANG,NORTH,103.8211733,1.4454915
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4 Singapore,689814,CHOA CHU KANG,WEST,103.745047,1.3852291
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET Singapore,545088,SENG KANG,NORTH,103.903609,1.386881
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64 Singapore,689100,CHOA CHU KANG,WEST,103.751221,1.396985
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93 Singapore,534238,HOUGANG,NORTH,103.881046,1.37734
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71 Singapore,518798,PASIR RIS,EAST,103.9352781,1.3762831
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62 Singapore,737942,WOODLANDS,NORTH,103.804609,1.43985
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9 Singapore,569785,ANG MO KIO,NORTH,103.841225,1.384692
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE Singapore,757702,SEMBAWANG,NORTH,103.8222601,1.4519448
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS Singapore,828869,PUNGGOL,NORTH,103.9076926,1.4004367
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72 Singapore,649223,JURONG WEST,WEST,103.698987,1.34455
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41 Singapore,518935,PASIR RIS,EAST,103.9570205,1.3725006
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3 Singapore,129903,CLEMENTI,WEST,103.7632163,1.3155074
TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD Singapore,467353,MARINE PARADE,EAST,103.93895500000001,1.3247024
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53 Singapore,569206,ANG MO KIO,NORTH,103.8516001,1.3750929
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI Singapore,538403,TOA PAYOH,SOUTH,103.882831,1.340275
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH Singapore,318990,TOA PAYOH,SOUTH,103.851956,1.34154
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE Singapore,349692,TOA PAYOH,EAST,103.874242,1.333751
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD Singapore,247961,BUKIT MERAH,SOUTH,103.8178223,1.2934751
GAN ENG SENG SCHOOL,1 HENDERSON ROAD Singapore,159561,BUKIT MERAH,SOUTH,103.823528,1.2895675
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE Singapore,149295,QUEENSTOWN,SOUTH,103.8019743,1.3005119
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD Singapore,259978,CENTRAL,SOUTH,103.8287358,1.311665
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE Singapore,575954,BISHAN,SOUTH,103.8432556,1.3466384
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW Singapore,534237,HOUGANG,NORTH,103.9022635,1.3748927
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD Singapore,608784,JURONG EAST,WEST,103.7455916,1.3189295
TANJONG KATONG GIRLS' SCHOOL,2 BEDOK SOUTH ROAD Singapore,469268,MARINE PARADE,EAST,103.926756,1.3220605
VICTORIA SCHOOL,2 SIGLAP LINK Singapore,448880,BEDOK,EAST,103.9275012,1.3085839
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24 Singapore,579747,BISHAN,SOUTH,103.843265,1.355497
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41 Singapore,649406,JURONG WEST,WEST,103.722405,1.347026
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71 Singapore,768516,YISHUN,NORTH,103.828833,1.428129
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD Singapore,327919,KALLANG,SOUTH,103.8606585,1.3245246
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1 Singapore,739062,WOODLANDS,NORTH,103.777326,1.430948
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22 Singapore,569362,ANG MO KIO,SOUTH,103.8426103,1.3677825
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK Singapore,468585,BEDOK,EAST,103.950977,1.3248089
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3 Singapore,129904,CLEMENTI,WEST,103.7618194,1.3154809
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD Singapore,465561,BEDOK,EAST,103.9471669,1.3157589
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21 Singapore,569384,ANG MO KIO,SOUTH,103.835438,1.368331
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12 Singapore,529427,TAMPINES,EAST,103.9439474,1.3498263
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21 Singapore,659633,BUKIT BATOK,WEST,103.7521004,1.345925
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD Singapore,739111,WOODLANDS,NORTH,103.774208,1.439565
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI Singapore,547529,HOUGANG,NORTH,103.877649,1.370117
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8 Singapore,658962,BUKIT BATOK,WEST,103.740867,1.348506
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21 Singapore,768610,YISHUN,NORTH,103.8384727,1.4325411
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 Singapore,534256,HOUGANG,NORTH,103.88253,1.377661
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 Singapore,129956,CLEMENTI,WEST,103.769189,1.30807
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52 Singapore,659250,BUKIT BATOK,WEST,103.752785,1.35277
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8 Singapore,538789,HOUGANG,NORTH,103.883077,1.372635
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD Singapore,679938,BUKIT PANJANG,WEST,103.773836,1.38206
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8 Singapore,529593,TAMPINES,EAST,103.9300788,1.3498342
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT Singapore,688845,CHOA CHU KANG,WEST,103.7525502,1.3825531
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD Singapore,479229,BEDOK,EAST,103.927061,1.336405
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22 Singapore,768578,YISHUN,NORTH,103.840098,1.435827
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK Singapore,575566,BISHAN,SOUTH,103.829903,1.36613
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1 Singapore,609790,JURONG EAST,WEST,103.729161,1.351493
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD Singapore,678972,BUKIT PANJANG,WEST,103.7644367,1.3753749
KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT Singapore,688945,CHOA CHU KANG,WEST,103.756524,1.381679
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91 Singapore,649038,JURONG WEST,WEST,103.6871273,1.3386025
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD Singapore,677737,BUKIT PANJANG,WEST,103.760018,1.387707
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65 Singapore,648348,JURONG WEST,WEST,103.702086,1.335276
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3 Singapore,469722,BEDOK,EAST,103.935336,1.3341416
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS Singapore,828870,PUNGGOL,NORTH,103.909443,1.402069
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK Singapore,545081,SENG KANG,NORTH,103.8990751,1.38121
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT Singapore,737916,WOODLANDS,NORTH,103.8026082,1.4462673
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK Singapore,797702,SENG KANG,NORTH,103.8785975,1.3907376
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS Singapore,828866,PUNGGOL,NORTH,103.9117179,1.396986
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD Singapore,828814,PUNGGOL,NORTH,103.902302,1.399882
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51 Singapore,518901,PASIR RIS,EAST,103.949261,1.3671009
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11 Singapore,519073,PASIR RIS,EAST,103.956826,1.366972
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD Singapore,436895,KALLANG,EAST,103.8835308,1.2982166
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE Singapore,649961,JURONG WEST,WEST,103.709695,1.3431764
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7 Singapore,768928,YISHUN,NORTH,103.8299804,1.4364306
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT Singapore,399935,GEYLANG,EAST,103.8866552,1.307525
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU Singapore,159050,BUKIT MERAH,SOUTH,103.81344,1.285583
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4 Singapore,689809,CHOA CHU KANG,WEST,103.738424,1.38166
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45 Singapore,529093,TAMPINES,EAST,103.956206,1.360673
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD Singapore,618652,JURONG WEST,WEST,103.7239048,1.3305084
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD Singapore,768689,YISHUN,NORTH,103.8310319,1.41924
OUTRAM SECONDARY SCHOOL,3 YORK HILL Singapore,168622,CENTRAL,SOUTH,103.837091,1.286507
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5 Singapore,569868,ANG MO KIO,NORTH,103.842103,1.377635
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD Singapore,618654,JURONG WEST,WEST,103.720994,1.341917
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65 Singapore,648354,JURONG WEST,WEST,103.701945,1.342172
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3 Singapore,469293,BEDOK,EAST,103.9438629,1.3246274
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42 Singapore,649371,JURONG WEST,WEST,103.72158,1.351473
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42 Singapore,569277,ANG MO KIO,NORTH,103.852329,1.365893
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET Singapore,468980,BEDOK,EAST,103.920426,1.3278983
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4 Singapore,556094,SERANGOON,SOUTH,103.8704861,1.3593733
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21 Singapore,529400,TAMPINES,EAST,103.948533,1.354757
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12 Singapore,579807,BISHAN,SOUTH,103.850566,1.344693
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81 Singapore,738524,WOODLANDS,NORTH,103.788591,1.4404834
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3 Singapore,556123,SERANGOON,SOUTH,103.8694885,1.3486694
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34 Singapore,659322,BUKIT BATOK,WEST,103.75064,1.36469
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25 Singapore,658712,BUKIT BATOK,WEST,103.760309,1.342423
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3 Singapore,529894,TAMPINES,EAST,103.952619,1.340939
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT Singapore,688848,CHOA CHU KANG,WEST,103.755214,1.382536
