school_name,address,postal_code,dgp_code,zone_code,lon,lat
CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD Singapore,387621,GEYLANG,EAST,103.8822778,1.3261855
KONG HWA SCHOOL,350 GUILLEMARD ROAD Singapore,399772,GEYLANG,EAST,103.8878503,1.311
MEE TOH SCHOOL,21 EDGEDALE PLAINS Singapore,828867,PUNGGOL,NORTH,103.9089333,1.3947729
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE Singapore,449149,MARINE PARADE,EAST,103.9181149,1.3055653
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 Singapore,469719,BEDOK,EAST,103.9346109,1.3332677
TAO NAN SCHOOL,49 MARINE CRESCENT Singapore,449761,MARINE PARADE,EAST,103.9113177,1.3049455
NANYANG PRIMARY SCHOOL,52 KING'S ROAD Singapore,268097,BUKIT TIMAH,WEST,103.8077117,1.3210855
ST. ANTHONY'S PRIMARY SCHOOL,30 BUKIT BATOK ST 32 Singapore,659401,BUKIT BATOK,WEST,103.7490186,1.3642757
MAHA BODHI SCHOOL,10 UBI AVENUE 1 Singapore,408931,GEYLANG,EAST,103.8962436,1.3264069
PEI CHUN PUBLIC SCHOOL,580 TOA PAYOH EAST Singapore,319133,TOA PAYOH,SOUTH,103.8589626,1.3332385
POI CHING SCHOOL,21 TAMPINES STREET 71 Singapore,529067,TAMPINES,EAST,103.9352454,1.3577836
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH Singapore,319580,TOA PAYOH,SOUTH,103.847796,1.337666
NAN HUA PRIMARY SCHOOL,170 WEST COAST ROAD Singapore,127443,CLEMENTI,WEST,103.7652142,1.3065701
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE Singapore,597610,BUKIT TIMAH,WEST,103.77613,1.338081
AI TONG SCHOOL,100 BRIGHT HILL DRIVE Singapore,579646,BISHAN,SOUTH,103.832615,1.360415
HONG WEN SCHOOL,30 TOWNER ROAD Singapore,327829,KALLANG,SOUTH,103.8576768,1.3219278
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON Singapore,536451,HOUGANG,SOUTH,103.893711,1.366573
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO Singapore,536741,HOUGANG,EAST,103.884813,1.351003
CHONGFU SCHOOL,170 YISHUN AVENUE 6 Singapore,768959,YISHUN,NORTH,103.8389256,1.4386291
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD Singapore,424821,BEDOK,EAST,103.9109552,1.3064102
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD Singapore,309918,NOVENA,SOUTH,103.8351774,1.3186587
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD Singapore,139650,QUEENSTOWN,SOUTH,103.7809869,1.302298
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD Singapore,678117,BUKIT PANJANG,WEST,103.7661047,1.3681024
