Block_No,Street_Name,Postal_Code,1_Room,2_Room,Application_Zone
2,Eunos Cres,400002,N,Y,Bedok/Tampines
12,Eunos Cres,400012,N,Y,Bedok/Tampines
12,Merpati Rd,370012,N,Y,Bedok/Tampines
13,Merpati Rd,370013,N,Y,Bedok/Tampines
14,Merpati Rd,370014,N,Y,Bedok/Tampines
14,Old Airport Rd,390014,N,Y,Bedok/Tampines
22,Old Airport Rd,390022,N,Y,Bedok/Tampines
37,Circuit Rd,370037,N,Y,Bedok/Tampines
51,Circuit Rd,370051,N,Y,Bedok/Tampines
52,Circuit Rd,370052,N,Y,Bedok/Tampines
52,Cassia Cres,390052,Y,Y,Bedok/Tampines
55,Sims Dr,380055,Y,N,Bedok/Tampines
68,Circuit Rd,370068,N,Y,Bedok/Tampines
70,Circuit Rd,370070,N,Y,Bedok/Tampines
71,Circuit Rd,370071,N,Y,Bedok/Tampines
72,Circuit Rd,370072,N,Y,Bedok/Tampines
90,Pipit Rd,370090,Y,N,Bedok/Tampines
94,Pipit Rd,370094,Y,N,Bedok/Tampines
96,Aljunied Cres,380096,N,Y,Bedok/Tampines
100,Aljunied Cres,380100,Y,N,Bedok/Tampines
103,Aljunied Cres,380103,N,Y,Bedok/Tampines
15,Marine Ter,440015,N,Y,Bedok/Tampines
16,Marine Ter,440016,N,Y,Bedok/Tampines
51,Marine Ter,440051,N,Y,Bedok/Tampines
52,Marine Ter,440052,N,Y,Bedok/Tampines
53,Marine Ter,440053,N,Y,Bedok/Tampines
12,Bedok Sth Ave 2,460012,Y,N,Bedok/Tampines
13,Bedok Sth Rd,460013,N,Y,Bedok/Tampines
22,Chai Chee Rd,461022,Y,N,Bedok/Tampines
23,Chai Chee Rd,461023,Y,N,Bedok/Tampines
24,Chai Chee Rd,460024,Y,N,Bedok/Tampines
30,Chai Chee Ave,460030,Y,N,Bedok/Tampines
31,Chai Chee Ave,461031,Y,N,Bedok/Tampines
38,Bedok Sth Rd,460038,N,Y,Bedok/Tampines
38,Chai Chee Ave,461038,Y,N,Bedok/Tampines
39,Chai Chee Ave,461039,Y,N,Bedok/Tampines
101,Bedok Nth Ave 4,460101,N,Y,Bedok/Tampines
106,Bedok Nth Ave 4,460106,N,Y,Bedok/Tampines
113,Bedok Nth St 2,460113,N,Y,Bedok/Tampines
114,Bedok Nth St 2,460114,N,Y,Bedok/Tampines
514,Bedok Nth Ave 2,460514,N,Y,Bedok/Tampines
541,Bedok Nth St 3,460541,N,Y,Bedok/Tampines
544,Bedok Nth St 3,460544,Y,N,Bedok/Tampines
556,Bedok Nth St 3,460556,Y,Y,Bedok/Tampines
557,Bedok Nth St 3,460557,Y,Y,Bedok/Tampines
204,Tampines St 21,520204,Y,Y,Bedok/Tampines
208A,Tampines Ave 2,521208,Y,Y,Bedok/Tampines
299B,Tampines St 22,522299,Y,Y,Bedok/Tampines
441,Tampines St 43,520441,Y,Y,Bedok/Tampines
442,Tampines St 43,520442,Y,Y,Bedok/Tampines
466,Tampines St 44,520466,Y,Y,Bedok/Tampines
471,Tampines St 44,520471,Y,Y,Bedok/Tampines
492E,Tampines St 45,525492,Y,Y,Bedok/Tampines
492F,Tampines St 45,526492,Y,Y,Bedok/Tampines
499C,Tampines Ave 9,523499,Y,Y,Bedok/Tampines
603A,Tampines Ave 9,521603,Y,Y,Bedok/Tampines
872A,Tampines St 86,521872,Y,Y,Bedok/Tampines
872B,Tampines St 86,522872,Y,Y,Bedok/Tampines
885A,Tampines St 83,521885,Y,Y,Bedok/Tampines
476A,Pasir Ris Dr 6,511476,Y,Y,Bedok/Tampines
