Name,Description,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
21699,SUMMERDALE,2,BOON LAY PLACE,JURONG WEST,WEST REGION,103.71203075013112,1.34154982082089
21711,Bet Blks 523/525,3,HONG KAH,JURONG WEST,WEST REGION,103.7157628162222,1.3469988421095598
21719,Opp Blk 529,2,BOON LAY PLACE,JURONG WEST,WEST REGION,103.71507297402223,1.34779474567713
21751,Jurong Sec Sch,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.72480472198433,1.33089333300685
21759,Opp Jurong Sec Sch,4,LAKESIDE,JURONG EAST,WEST REGION,103.7249113116863,1.33032387572414
21761,Blk 138B,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.72476805601295,1.32831333299986
21769,Opp Blk 138B,4,LAKESIDE,JURONG EAST,WEST REGION,103.7249037836336,1.32847554099899
21771,AFT CORP DR,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.72373023682435,1.3265799244815997
21779,Aft Yuan Ching Rd,4,TAMAN JURONG,JURONG WEST,WEST REGION,103.72425774502393,1.32643572160288
22009,Boon Lay Int,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70545701843297,1.3393233470918402
22011,Jurong Bird Pk,2,LIU FANG,BOON LAY,WEST REGION,103.7077550377112,1.32129797964322
22019,Opp Jurong Bird Pk,1,TUKANG,BOON LAY,WEST REGION,103.7071133033833,1.3220240224627202
22021,Givaudan,2,LIU FANG,BOON LAY,WEST REGION,103.70369314086494,1.32168245080395
22029,Opp Givaudan,1,TUKANG,BOON LAY,WEST REGION,103.70268212142697,1.3224497174425598
22031,Bef Pioneer Circus,2,LIU FANG,BOON LAY,WEST REGION,103.69855176773174,1.32216806047952
22039,Markono Holdings,1,TUKANG,BOON LAY,WEST REGION,103.69861624674222,1.3228407650786098
22041,Aft Tg Kling Rd,2,LIU FANG,BOON LAY,WEST REGION,103.69873083298776,1.31463499997457
22049,Bef Tg Kling Rd,3,SAMULUN,BOON LAY,WEST REGION,103.6978888890064,1.3144663889863
22051,Opp Buroh St,2,LIU FANG,BOON LAY,WEST REGION,103.7020447220124,1.31386916701697
22059,Aft Buroh St,3,SAMULUN,BOON LAY,WEST REGION,103.70126249997799,1.3136061110110997
22061,Ceva Logistics,2,LIU FANG,BOON LAY,WEST REGION,103.70464097156747,1.31427617763344
22069,Opp Ceva Logistics,3,SAMULUN,BOON LAY,WEST REGION,103.70379462205501,1.31365447950552
22071,Bef Jurong Pier Rd,2,LIU FANG,BOON LAY,WEST REGION,103.70695129035255,1.3143363682705296
22079,Aft Jurong Pier Rd,3,SAMULUN,BOON LAY,WEST REGION,103.70804979014268,1.3139439920305502
22081,Opp Natsteel,3,SAMULUN,BOON LAY,WEST REGION,103.70037593299399,1.3059955571024797
22089,Natsteel,3,SAMULUN,BOON LAY,WEST REGION,103.70087805599306,1.3058927780259197
22091,Aft Jln Samulun,4,SHIPYARD,BOON LAY,WEST REGION,103.6965558745042,1.30880721630907
22099,Bef Jln Samulun,3,SAMULUN,BOON LAY,WEST REGION,103.69688960154522,1.30879764761052
22141,Aft Jln Buroh,3,BENOI SECTOR,PIONEER,WEST REGION,103.6959517251446,1.3173330063793
22149,Bef Jln Buroh,2,LIU FANG,BOON LAY,WEST REGION,103.69631182452451,1.3173196040118
22151,Hitachi,3,BENOI SECTOR,PIONEER,WEST REGION,103.69627164313702,1.3209523370271399
22159,Opp Hitachi,2,LIU FANG,BOON LAY,WEST REGION,103.69663318172152,1.32095243330175
22161,Aft Lok Yang Way,1,JOO KOON,PIONEER,WEST REGION,103.69643109025226,1.3255165686114203
22169,Aft Intl Rd,1,TUKANG,BOON LAY,WEST REGION,103.69661577387748,1.3262454287784098
22171,Opp Secura S'pore,6,KIAN TECK,JURONG WEST,WEST REGION,103.69637694399475,1.32954166703099
22179,Bef Secura,6,KIAN TECK,JURONG WEST,WEST REGION,103.6966590690515,1.3300047234021597
22181,S'pore Post,6,KIAN TECK,JURONG WEST,WEST REGION,103.69637694442996,1.3330161111203698
22189,Pioneer Junction,6,KIAN TECK,JURONG WEST,WEST REGION,103.69666289847902,1.3336971073049302
22191,Soon Lee Depot,6,KIAN TECK,JURONG WEST,WEST REGION,103.69832754842358,1.3313058401301803
22199,Opp Soon Lee Depot,6,KIAN TECK,JURONG WEST,WEST REGION,103.69847431049809,1.33102248150132
22219,Aft Neythal Rd,1,TUKANG,BOON LAY,WEST REGION,103.70260743188996,1.3276455607238102
22221,Aft Pioneer Rd Nth,6,KIAN TECK,JURONG WEST,WEST REGION,103.69785686002558,1.32790916071437
22229,Bef Pioneer Rd Nth,1,TUKANG,BOON LAY,WEST REGION,103.69887468380779,1.32764334311
22231,Blk 639,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69717899290252,1.34079486676221
22239,Blk 624,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69742194398371,1.34081972201603
22241,Opp Blk 622,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69938392223636,1.34012270744787
22249,Blk 622,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69865436006683,1.34016007378301
22251,Blk 665A,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70265666700926,1.34073333303053
22259,Blk 668D,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.7025463831608,1.3408913641227798
22271,Bef Kwong Min Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.7001114570651,1.32924582821916
22281,Aft Soon Lee Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.70375258407391,1.3284926429184298
22289,Bef Fan Yoong Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.70284000001512,1.32926333300758
22299,Bef Soon Lee Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.70177410483807,1.33068833434452
22309,Aft Fan Yoong Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.7033808329889,1.33326999997395
22319,Bef Enterprise Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.70545250001828,1.3319813890001897
22329,Opp Sam Mccoy Engrg,6,KIAN TECK,JURONG WEST,WEST REGION,103.70501590196446,1.3302434685510198
22331,Jurong Shipyard,3,SAMULUN,BOON LAY,WEST REGION,103.70317916961058,1.3048584766491702
22341,Blk 673C,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70103326346653,1.34491616105023
22349,Blk 734 CP,8,YUNNAN,JURONG WEST,WEST REGION,103.7007962851633,1.3452053728913798
22351,Opp Blk 717,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69803382884736,1.3427742189369898
22359,Blk 717,8,YUNNAN,JURONG WEST,WEST REGION,103.69727527800597,1.3425266670299
22361,Blk 641,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69587277801652,1.3407780560295903
22369,Blk 704,8,YUNNAN,JURONG WEST,WEST REGION,103.69511038795852,1.34033186393306
22391,Bef Jln Buroh,4,SHIPYARD,BOON LAY,WEST REGION,103.6957230721563,1.31342749923518
22399,Aft Jln Buroh,3,SAMULUN,BOON LAY,WEST REGION,103.69601603244551,1.3134570712709497
22401,Aft Shipyard Rd,4,SHIPYARD,BOON LAY,WEST REGION,103.69714966993956,1.31007875279152
22409,Bef Shipyard Rd,3,SAMULUN,BOON LAY,WEST REGION,103.69741989860339,1.31014256556667
22411,Blk 676B,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70380100924208,1.34626796042608
22419,Jurong West Sub-Stn,8,YUNNAN,JURONG WEST,WEST REGION,103.70286134292765,1.34622597800485
22421,Natl Oxygen Pte Ltd,3,SAMULUN,BOON LAY,WEST REGION,103.69872388898081,1.3077550000036502
22429,Opp Natl Oxygen Pte Ltd,3,SAMULUN,BOON LAY,WEST REGION,103.69908070609895,1.30725749703402
22431,Opp Four Leaves,6,KIAN TECK,JURONG WEST,WEST REGION,103.70742208599415,1.33308242562379
22439,Aft Four Leaves,6,KIAN TECK,JURONG WEST,WEST REGION,103.70680944659455,1.3331125752616797
22441,Blk 669 CP,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.7036274900942,1.3426698715623002
22449,Blk 685B,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70380658858679,1.3427621147008602
22451,Opp Blk 643,8,YUNNAN,JURONG WEST,WEST REGION,103.69561280580359,1.33817022625307
22459,Blk 643,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69572041924056,1.33856290426228
22461,Opp Blk 653B,8,YUNNAN,JURONG WEST,WEST REGION,103.69620499996849,1.3359619444339899
22469,Blk 653B,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69631873743737,1.33649062479414
22471,Bef Jurong West St 93,8,YUNNAN,JURONG WEST,WEST REGION,103.6931453983202,1.33509047686273
22479,Aft Jurong West St 93,6,KIAN TECK,JURONG WEST,WEST REGION,103.693102645977,1.3347424248778597
22481,Blk 691A CP,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70554089546958,1.3424622384747
22489,Blk 683A,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70536833792208,1.34258460261
22491,Blk 662D,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70478201670083,1.33721274298352
22499,Opp Blk 662C,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70488157561539,1.33752755300605
22501,Blk 662A,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70297133237953,1.33769199118033
22509,Blk 664C,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70323491142737,1.33799405073941
22511,Blk 658C,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70029665103546,1.3374618172021897
22519,Blk 608,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.6999522210238,1.33773359608761
22521,Pioneer Stn Exit A,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69776790191162,1.33741647896432
22529,Pioneer Stn Exit B,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69728617102126,1.33777262767008
22531,Opp Jurong West Pr Sch,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.6981437537688,1.33922673310366
22539,Jurong West Pr Sch,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69838678279567,1.3391952371365399
22541,Blk 655,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.69761016575693,1.3349680480961803
22549,Opp Blk 655 CP,6,KIAN TECK,JURONG WEST,WEST REGION,103.69795361380135,1.3346356312276597
22551,Blk 657,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70065616150622,1.3349820426922197
22559,Opp Blk 657 CP,6,KIAN TECK,JURONG WEST,WEST REGION,103.70101403397047,1.3346546220212903
22561,Blk 660,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.704144267721,1.33497038465954
22569,Opp Blk 660 CP,6,KIAN TECK,JURONG WEST,WEST REGION,103.70458203446964,1.33464939590143
22571,Opp Boon Lay Stn,6,KIAN TECK,JURONG WEST,WEST REGION,103.70689097976616,1.33780381373794
22591,Blk 670A,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70329583335823,1.34425833334291
22599,Blk 678D,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.70308100001235,1.3448403829887903
22609,Soon Lee Bus Pk,6,KIAN TECK,JURONG WEST,WEST REGION,103.69830144019608,1.3304821025283602
23011,Carrier Transicold Pte Ltd,3,BENOI SECTOR,PIONEER,WEST REGION,103.69250829071932,1.32240518497889
23019,Nippon Paint,1,JOO KOON,PIONEER,WEST REGION,103.69256700002227,1.32302099996901
23021,Aft Benoi Sector,3,BENOI SECTOR,PIONEER,WEST REGION,103.6851860612218,1.3224359518168403
23029,Stamford Tyre,1,JOO KOON,PIONEER,WEST REGION,103.68622888892132,1.32302194442237
23031,Bef Benoi Flyover,3,BENOI SECTOR,PIONEER,WEST REGION,103.68099108399512,1.32239543114794
23039,Aft Benoi Flyover,1,JOO KOON,PIONEER,WEST REGION,103.68151388887641,1.32303111111252
23041,Opp Jurong Camp,6,KIAN TECK,JURONG WEST,WEST REGION,103.69055967203332,1.3333408869175898
23049,Jurong Camp,7,SAFTI,JURONG WEST,WEST REGION,103.6906114057035,1.3341076408174202
23051,Bef Kian Teck Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.68928138898715,1.3316897219886201
23059,Aft Kian Teck Rd,7,SAFTI,JURONG WEST,WEST REGION,103.68813759846915,1.33071284667323
23061,Aft Kian Teck Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.68652222202904,1.3295277780209998
23069,Bef Kian Teck Rd,7,SAFTI,JURONG WEST,WEST REGION,103.68582019131011,1.3298995051155302
23071,Opp SAFTI Military Inst,6,KIAN TECK,JURONG WEST,WEST REGION,103.68257796013836,1.32977056006705
23079,SAFTI Military Inst,7,SAFTI,JURONG WEST,WEST REGION,103.68181544225693,1.3301790891785403
23081,Opp S'pore Discovery Ctr,1,JOO KOON,PIONEER,WEST REGION,103.67826798978071,1.33011660553179
23089,S'pore Discovery Ctr,7,SAFTI,JURONG WEST,WEST REGION,103.67843466317231,1.330433728881
23091,Nippon,1,JOO KOON,PIONEER,WEST REGION,103.69276227893867,1.3245186163900398
23099,Bef First Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.69286142759195,1.3246711717887498
23101,Auto World Care,1,JOO KOON,PIONEER,WEST REGION,103.69091333299923,1.3245347220127202
23109,Aft Third Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.69068388898825,1.32468138902865
23111,Bef Fourth Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.6883647219912,1.32454666699618
23119,Aft Fourth Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.68847743952205,1.32467561470377
23121,Opp Leroy-Somer,1,JOO KOON,PIONEER,WEST REGION,103.68564634652004,1.3245495187206202
23129,Leroy-Somer,1,JOO KOON,PIONEER,WEST REGION,103.68558762196439,1.3246809667898403
23131,MES Logistic Hub,1,JOO KOON,PIONEER,WEST REGION,103.684046944028,1.32537111100949
23139,Bef Lok Yang Way,1,JOO KOON,PIONEER,WEST REGION,103.68414777801725,1.32517166702255
23141,Opp Varco,1,JOO KOON,PIONEER,WEST REGION,103.68401506144217,1.32666880692569
23149,Varco,1,JOO KOON,PIONEER,WEST REGION,103.68416474851742,1.3268303456748802
23151,Containers Printers,6,KIAN TECK,JURONG WEST,WEST REGION,103.68483459543562,1.32788229015066
23159,Aft Fifth Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.68563350571777,1.32766374044406
23161,Aft Kian Teck Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.68869472049072,1.3278839556405
23169,Bef Kian Teck Rd,1,JOO KOON,PIONEER,WEST REGION,103.68867638901021,1.3276883329760698
23171,SKK (S) Pte Ltd,6,KIAN TECK,JURONG WEST,WEST REGION,103.69118969248986,1.3278960364042502
23179,Aft Second Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.69102029335355,1.3276728437291099
23181,Aft Kian Teck Rd,6,KIAN TECK,JURONG WEST,WEST REGION,103.69448861100467,1.3279030559938698
23189,Bef First Lok Yang Rd,1,JOO KOON,PIONEER,WEST REGION,103.69397532297509,1.32764459746447
23191,Opp S'pore Tpt Pte Ltd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68362765144359,1.3196614561559101
23199,S'pore Tpt Pte Ltd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68312351699181,1.3195126452484098
23201,Opp Shimano Pte Ltd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68628552653574,1.31964589958011
23209,Aft Shimano Pte Ltd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68577614249959,1.3195032708479497
23211,Mapletree Logistics Hub,3,BENOI SECTOR,PIONEER,WEST REGION,103.68920471855569,1.31792061914698
23219,Tru-Marine,3,BENOI SECTOR,PIONEER,WEST REGION,103.68852528629336,1.31832727349422
23221,Aft Gul Way,2,GUL CIRCLE,PIONEER,WEST REGION,103.67178095052478,1.3089665962481398
23229,Opp Gul Way,4,GUL BASIN,PIONEER,WEST REGION,103.67180644651505,1.30868757581216
23231,Keppel Logistics,2,GUL CIRCLE,PIONEER,WEST REGION,103.67491833296833,1.3092649999841899
23239,Opp Keppel Logistics,4,GUL BASIN,PIONEER,WEST REGION,103.67513000000729,1.3091600000141903
23241,Aft Benoi Rd,3,BENOI SECTOR,PIONEER,WEST REGION,103.67981162071217,1.3102543597714003
23249,Bef Benoi Rd,4,GUL BASIN,PIONEER,WEST REGION,103.67948846644917,1.3099034865303898
23251,Aft Shipyard Rd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68378143028161,1.3117223561773
23259,Bef Shipyard Rd,4,SHIPYARD,BOON LAY,WEST REGION,103.6836649596919,1.3113955620598698
23261,Opp Exxon Mobil,3,BENOI SECTOR,PIONEER,WEST REGION,103.68577338809426,1.31264863196713
23269,Exxon Mobil,4,SHIPYARD,BOON LAY,WEST REGION,103.6857799047387,1.3124062854619996
23279,Bef Benoi Sector,4,SHIPYARD,BOON LAY,WEST REGION,103.69162853660083,1.3149287594586
23281,Aft Pioneer Rd,4,GUL BASIN,PIONEER,WEST REGION,103.6789673712784,1.30650617564734
23291,ST Marine,4,GUL BASIN,PIONEER,WEST REGION,103.67930477414359,1.30382409549165
23301,Bef Benoi Basin,4,GUL BASIN,PIONEER,WEST REGION,103.6795390324149,1.3021205706657897
23311,Keppel Shipyard,4,GUL BASIN,PIONEER,WEST REGION,103.67745555601712,1.3017863889767902
23321,Bef Benoi Lane,4,GUL BASIN,PIONEER,WEST REGION,103.67618479236954,1.3040433303277499
23331,Opp JP Nelson,4,GUL BASIN,PIONEER,WEST REGION,103.67584222201576,1.30689333299079
23341,Aft Pioneer Rd,2,GUL CIRCLE,PIONEER,WEST REGION,103.67850804808974,1.31118496429579
23349,Bef Pioneer Rd,3,BENOI SECTOR,PIONEER,WEST REGION,103.67871579430353,1.3107685505570197
23351,Aft Gul Ave,2,GUL CIRCLE,PIONEER,WEST REGION,103.67874941599844,1.3161548586763898
23359,Opp Gul Ave,3,BENOI SECTOR,PIONEER,WEST REGION,103.67888283705669,1.3150050080747797
